010010 ENJA   JAN MAYEN(NOR-NAVY) NO 7056N 00840W 0009   
853940        BERMEJO             BO 2245S 06323W    
854060 SCAR   ARICA/CHACALLUTA    CH 1820S 07020W 0059   
854180 SCDA   IQUIQUE/DIEGO ARAC  CH 2032S 07011W 0052   
854320 SCCF   CALAMA/EL LOA     & CH 2230S 06854W 2312   
854420 SCFA   ANTOFAGASTA/CERRO   CH 2326S 07026W 0120   
854600 SCRA   CHANARAL            CH 2619S 07037W 0030   
854660        CALDERA             CH 2704S 07048W 0055   
854690 SCIP   EASTER ISLAND       CH 2709S 10925W 0047   
854700 SCHA   COPIAPO/CHAMONATE & CH 2718S 07025W 0291   
854860 SCLL   VALLENAR            CH 2836S 07046W 0538   
854880 SCSE   LA SERENA/LAFLORIDA CH 2955S 07112W 0146   
855430 SCER   QUINTERO (MIL)      CH 3247S 07131W 0008   
855620 SCBL   EL BELLOTO (MIL)    CH 3303S 07125W 0123   
855740 SCEL   PUDAHUEL/ARTURO MER CH 3323S 07047W 0476   
855790 SCTI   LOS CERRILLOS       CH 3329S 07042W 0511   
855800 SCTB   EULOGIO SANCHEZ     CH 3327S 07033W 0649   
855810 SCBQ   EL BOSQUE (MIL)     CH 3334S 07041W 0573   
855850        ROBINSON CRUSOE ISL CH 3340S 07859W 0031   
855860 SCSN   SANTO DOMINGO       CH 3339S 07137W 0075   
856080 SCRG   DE LA INDEPENDENCIA CH 3410S 07046W 0441   
856290 SCIC   CURICO/GEN FREIRE   CH 3458S 07114W 0242   
856720 SCCH   CHILLAN/GEN BERNARD CH 3634S 07202W 0148   
856820 SCIE   CONCEPCION/CARRIEL  CH 3646S 07303W 0016   
857030 SCGE   MARIA DOLORES       CH 3724S 07225W 0114   
857430 SCTC   TEMUCO/MAQUEHUE     CH 3845S 07238W 0120   
857660 SCVD   VALDIVIA/PICHOY     CH 3937S 07304W 0014   
857820 SCJO   OSORNO/CANAL BAJO   CH 4036S 07303W 0065   
857990 SCTE   PUERTO MONTT/TEPUAL CH 4125S 07305W 0086   
858180 SCAC   ANCUD/PUPELDE     & CH 4154S 07348W 0114   
858203 SCSR   SEGUNDO CORRAL ALTO CH 4205S 07152W 0366   
858250 SCST   CASTRO/GAMBOA       CH 4229S 07346W 0044   
858300 SCTN   CHAITEN           & CH 4256S 07242W 0004   
858310 SCON   QUELLON             CH 4307S 07338W 0003   
858320 SCFT   FUTALEUFU           CH 4311S 07150W 0318   
858360 SCAP   ALTO PALENA         CH 4338S 07148W 0277   
858620        PUERTO AYSEN        CH 4524S 07240W 0011   
858640 SCCY   COYHAIQUE/TENIENTE  CH 4535S 07202W 0311   
858740 SCBA   BALMACEDA           CH 4555S 07141W 0524   
858860 SCCC   CHILE CHICO         CH 4633S 07142W 0325   
858920 SCHR   COCHRANE            CH 4714S 07233W 0167   
859210        PUERTO NATALES      CH 5142S 07232W 0070   
859300        ISLOTES EVANGELISTA CH 5224S 07506W 0052   
859340 SCCI   PUNTA ARENAS/PRES C CH 5300S 07051W 0037   
859363 SCFM   CAPT FUENTES MARTIN CH 5315S 07020W 0030   
859720        ISLA DIEGO RAMIREZ  CH 5636S 06843W 0042   
860110        BASE 5/GRAL A. JARA PY 1932S 05922W 0150   
860170 SGNA   NUEVA ASUNCION      PY 2043S 06155W 0315   
860330        BAHIA NEGRA         PY 2013S 05810W 0096   
860380        LA PATRIA           PY 2120S 06130W 0190   
860650        PRATS-GIL           PY 2242S 06130W 0220   
860680 SGME   MARISCAL ESTIGARRIB PY 2201S 06036W 0181   
860703 SGFI   FILADELFIA        & PY 2222S 06003W 0139   
860860        PUERTO CASADO       PY 2217S 05752W 0087   
860970        PEDRO JUAN CABALLER PY 2235S 05539W 0662   
861340 SGCO   CONCEPCION/MARISCAL PY 2325S 05718W 0074   
861840        PUERTO ANTEQUERA    PY 2406S 05710W 0064   
861920        SAN ESTANISLAO      PY 2439S 05626W 0168   
862100        SALTOS DEL GUAIRA   PY 2403S 05419W 0300   
862160        SAN LORENZO         PY 2522S 05733W 0120   
862180 SGAS   ASUNCION/SILVIO PET PY 2516S 05738W 0101   
862330        VILLARRICA          PY 2545S 05626W 0161   
862470        VIVERO FORESTAL     PY 2531S 05447W 0200   
862480        CIUDAD DEL ESTE     PY 2532S 05436W 0196   
862550 SGPI   PILAR               PY 2651S 05819W 0056   
862600        SAN JUAN BAUTISTA   PY 2640S 05709W 0126   
862680        CAAZAPA             PY 2611S 05621W 0150   
862850        CAPITAN MEZA        PY 2656S 05512W 0150   
862880        ITA-CORA            PY 2713S 05816W 0090   
862970 SGEN   ENCARNACION         PY 2719S 05550W 0091   
863150        BELLA UNION         UY 3016S 05735W 0054   
863300 SUAG   ARTIGAS             UY 3023S 05630W 0123   
863500 SURV   RIVERA              UY 3058S 05529W 0205   
863600 SUSO   SALTO               UY 3123S 05757W 0034   
863700 SUTB   TACUAREMBO          UY 3142S 05559W 0134   
864300 SUPU   PAYSANDU            UY 3220S 05802W 0061   
864400 SUMO   MELO/CERRO LARGO    UY 3222S 05411W 0100   
864500        YOUNG               UY 3241S 05738W 0081   
864600        PASO DE LOS TOROS   UY 3248S 05631W 0075   
864900 SUME   MERCEDES/RICARDO DE UY 3315S 05804W 0022   
865000 SUTR   TREINTA Y TRES      UY 3313S 05423W 0046   
865300 SUDU   DURAZNO/SANTA BERNA UY 3321S 05630W 0093   
865450        FLORIDA             UY 3403S 05608W 0097   
865600 SUCA   COLONIA SACRAMENTO  UY 3427S 05750W 0023   
865650        ROCHA               UY 3429S 05418W 0018   
865750 SUAA   MELILLA/ANGEL S. AD UY 3447S 05615W 0054   
865800 SUMU   CARRASCO (CIV/MIL)  UY 3450S 05600W 0032   
865823 SULS   CAPITAN CORBETA     UY 3452S 05506W 0030   
865850        EL PRADO            UY 3451S 05612W 0016   
865955 SUPE   MALDONADO/PUNTA EST UY 3455S 05455W 0015   
870070 SASQ   LA QUIACA OBSERVAT  AG 2206S 06536W 3462   
870160 SASO   ORAN AIRPORT        AG 2309S 06419W 0357   
870220 SAST   TARTAGAL AIRPORT    AG 2239S 06349W 0450   
870460 SASJ   JUJUY AIRPORT       AG 2423S 06505W 1167   
870470 SASA   SALTA AIRPORT       AG 2451S 06529W 1216   
870650 SASR   RIVADAVIA           AG 2410S 06254W 0205   
870710 SACQ   MONTE QUEMADO       AG 2545S 06252W 0220   
870780 SATK   LAS LOMITAS         AG 2442S 06035W 0130   
870970 SARI   IGUAZU/CATARATAS    AG 2544S 05428W 0270   
871210 SANT   TUCUMAN/TENIENTE    AG 2651S 06506W 0450   
871290 SANE   SANTIAGO DEL ESTERO AG 2746S 06418W 0199   
871460        VILLA ANGELA        AG 2734S 06044W 0075   
871490 SARS   PRESIDENT R S PENA  AG 2649S 06027W 0092   
871550 SARE   RESISTENCIA AIRPORT AG 2727S 05903W 0052   
871620 SARF   FORMOSA AIRPORT   & AG 2612S 05814W 0060   
871660 SARC   CORRIENTES AIRPORT  AG 2727S 05846W 0062   
871710        GENERAL PAZ         AG 2745S 05738W 0074   
871730        YACIRETA            AG 2735S 05641W 0071   
871780 SARP   POSADAS AIRPORT     AG 2722S 05558W 0125   
871870        OBERA               AG 2729S 05508W 0343   
872110 SANI   TINOGASTA           AG 2804S 06734W 1201   
872130        ANGUINAN AIRPORT    AG 2914S 06726W 0945   
872140 SANO   CHILECITO           AG 2913S 06726W 0950   
872170 SANL   LA RIOJA/CAPT VICEN AG 2923S 06649W 0429   
872220 SANC   CATAMARCA AIRPORT   AG 2836S 06546W 0454   
872440 SACV   VILLA MARIA DEL RIO AG 2954S 06341W 0341   
872570 SANW   CERES               AG 2953S 06157W 0088   
872700        RECONQUISTA AIRPORT AG 2911S 05940W 0053   
872733 SATG   GOYA              & AG 2906S 05913W 0038   
872814 SATM   MERCEDES            AG 2913S 05805W 0107   
872860 SATU   CURUZU CUATIA ARPT  AG 2946S 05758W 0073   
872890 SARL   PASO DE LOS LIBRES  AG 2941S 05709W 0070   
873050 SAMJ   JACHAL              AG 3015S 06845W 1165   
873110 SANU   SAN JUAN AIRPORT    AG 3134S 06825W 0598   
873200        CHAMICAL AIRPORT    AG 3022S 06617W 0461   
873205 SACT   GOBERNADOR GORDILLO AG 3022S 06618W 0457   
873220 SACP   CHEPES              AG 3120S 06636W 0658   
873280 SAOD   VILLA DOLORES ARPT  AG 3157S 06508W 0569   
873364 SACC   LA CUMBRE           AG 3100S 06433W 1138   
873440 SACO   CORDOBA AIRPORT     AG 3119S 06413W 0474   
873490 SACI   PILAR OBSERVATORIO  AG 3140S 06353W 0338   
873710 SAAV   SAUCE VIEJO AIRPORT AG 3142S 06049W 0018   
873740 SAAP   PARANA/GEN URQUIZA  AG 3147S 06029W 0078   
873850 SAAU   VILLAGUAY           AG 3151S 05905W 0043   
873870        SAUCE               AG 3005S 05846W 0068   
873930 SARM   MONTE CASEROS ARPT  AG 3015S 05739W 0054   
873950 SAAC   CONCORDIA/PIERRESTE AG 3118S 05801W 0038   
874050 SAMU   USPALLATA           AG 3236S 06920W 1844   
874120 SAMS   SAN CARLOS          AG 3346S 06902W 0940   
874160 SAMI   SAN MARTIN          AG 3305S 06825W 0653   
874180 SAME   MENDOZA/EL PLUMERIL AG 3250S 06847W 0704   
874360 SAOU   SAN LUIS AIRPORT    AG 3316S 06621W 0702   
874480 SAOR   VILLA REYNOLDS ARPT AG 3344S 06523W 0486   
874530 SAOC   RIO CUARTO AIRPORT  AG 3307S 06414W 0421   
874670 SAOM   MARCOS JUAREZ ARPT  AG 3242S 06209W 0114   
874800 SAAR   ROSARIO AIRPORT     AG 3255S 06047W 0025   
874970 SAAG   GUALEGUAYCHU ARPT   AG 3300S 05837W 0021   
875060 SAMM   MALARGUE AIRPORT    AG 3530S 06935W 1425   
875090 SAMR   SAN RAFAEL AIRPORT  AG 3435S 06824W 0748   
875320 SAZG   GENERAL PICO ARPT   AG 3542S 06345W 0145   
875340 SAOL   LABOULAYE           AG 3408S 06322W 0137   
875440 SAZP   PEHUAJO/CMDR ZANNI  AG 3552S 06154W 0086   
875480 SAAJ   JUNIN AIRPORT       AG 3433S 06057W 0081   
875500        NUEVE DE JULIO      AG 3527S 06053W 0076   
875630        LAS FLORES AIRPORT  AG 3604S 05906W 0038   
875680 SADD   DON TORCUATO ARPT   AG 3429S 05837W 0004   
875690        SAN MIGUEL          AG 3433S 05844W 0026   
875710 SADP   EL PALOMAR AIRPORT  AG 3436S 05836W 0012   
875720 SADJ   MARIANO MORENO      AG 3434S 05847W 0028   
875740 SADM   BUENOS AIRES/MORON  AG 3441S 05839W 0030   
875760 SAEZ   BUENOS AIRES/EZEIZA AG 3449S 05832W 0020   
875800        MARTIN GARCIA ISL   AG 3411S 05816W 0036   
875820 SABE   AEROPARQUE(CIV/MIL) AG 3434S 05825W 0006   
875850 SABA   BUENOS AIRES (OBS)  AG 3435S 05829W 0025   
875930 SADL   LA PLATA AIRPORT    AG 3458S 05754W 0019   
875960        PUNTA INDIO NAS     AG 3522S 05717W 0022   
875980        PONTON RECALADA(LH) AG 3510S 05615W 0011   
876160        VICTORICA           AG 3613S 06526W 0312   
876190        GENERAL ACHA      & AG 3722S 06435W 0219   
876230 SAZR   SANTA ROSA AIRPORT  AG 3634S 06416W 0191   
876370        CORONEL SUAREZ      AG 3726S 06153W 0233   
876390 SAZI   BOLIVAR             AG 3615S 06106W 0093   
876400        BOLIVAR AERO        AG 3615S 06106W 0093   
876420 SAZA   AZUL AIRPORT        AG 3645S 05950W 0132   
876430        OLOVARRIA AERO      AG 3653S 06013W 0166   
876450 SAZT   TANDIL AIRPORT      AG 3714S 05915W 0175   
876480 SAZD   DOLORES AIRPORT     AG 3621S 05744W 0009   
876490        BENITO JUAREZ       AG 3743S 05947W 0207   
876570        PUNTA MEDANOS (LH)  AG 3653S 05640W 0009   
876580        SANTA TERESITA      AG 3633S 05641W 0004   
876630 SAZV   VILLA GESELL        AG 3714S 05702W 0007   
876790 SAZE   PIGUE AIRPORT       AG 3736S 06223W 0304   
876880 SAZH   TRES ARROYOS        AG 3820S 06015W 0115   
876890        MAR CHIQUITA        AG 3744S 05725W 0008   
876920 SAZM   MAR DEL PLATA ARPT  AG 3756S 05735W 0021   
877150 SAZN   NEUQUEN AIRPORT     AG 3857S 06808W 0271   
877360 SAZQ   RIO COLORADO        AG 3901S 06405W 0079   
877430        EL RINCON (LGT-H)   AG 3923S 06201W 0007   
877480        COMANDANTE ESPORA   AG 3844S 06210W 0074   
877500 SAZB   BAHIA BLANCA (MIL)  AG 3844S 06210W 0083   
877580 SAZO   NECOCHEA AIRPORT    AG 3829S 05850W 0032   
877610 SAZY   CHAPELCO            AG 4005S 07108W 0779   
877630        CATEDRAL 2000       AG 4115S 07137W 1955   
877650 SAZS   SAN CARLOS BARILOCH AG 4109S 07110W 0840   
877740        MAQUINCHAO          AG 4115S 06844W 0888   
877840 SAVO   SAN ANTONIO OESTE   AG 4044S 06457W 0007   
877910 SAVV   VIEDMA/CASTELLO     AG 4051S 06301W 0007   
878000 SAVB   EL BOLSON AERO      AG 4158S 07131W 0337   
878030 SAVE   ESQUEL AIRPORT      AG 4258S 07109W 0794   
878034 SAVD   EL MAITEN           AG 4202S 07110W 0720   
878070 SAWS   JOSE DE SAN MARTIN  AG 4403S 07026W 0720   
878140 SAVP   PASO DE INDIOS      AG 4349S 06853W 0460   
878280 SAVT   TRELEW/ALMIRANTE ZA AG 4312S 06516W 0043   
878520 SAWP   PERITO MORENO ARPT  AG 4631S 07101W 0429   
878524 SAWM   RIO MAYO            AG 4542S 07015W 0545   
878525 SAVR   ALTO RIO SENGUERR   AG 4501S 07049W 0697   
878600 SAVC   COMODORO RIVADAVIA  AG 4547S 06730W 0046   
878800 SAWR   GOBERNADOR GREGORES AG 4847S 07010W 0356   
878960 SAWD   PUERTO DESEADO ARPT AG 4744S 06555W 0080   
879030 SAWA   LAGO ARGENTINO ARPT AG 5020S 07218W 0220   
879090 SAWJ   SAN JULIAN AIRPORT  AG 4919S 06747W 0062   
879120 SAWU   SANTA CRUZ AIRPORT  AG 5001S 06834W 0111   
879174 SAWT   EL TURBIO/RIO TURBI AG 5136S 07213W 0273   
879250 SAWG   RIO GALLEGOS ARPT   AG 5137S 06917W 0019   
879280        CABO VIRGENES (LH)  AG 5220S 06821W 0024   
879340 SAWE   RIO GRANDE AIRPORT  AG 5348S 06745W 0022   
879360        LAGO FAGNANO        AG 5434S 06717W 0109   
879380 SAWH   USHUAIA (ARG-NAVY)  AG 5448S 06819W 0014   
888780        BOGUS FALKLAND      FK 0000S 00000W    
888800        WEST POINT ISLAND   FK 5121S 06041W 0026   
888820        WEDDELL ISLAND      FK 5154S 06054W 0007   
888830        BOGUS FALKLAND      FK 0000S 00000W    
888840        FOX BAY             FK 5157S 06003W 0021   
888890 EGYP   MOUNT PLEASANT ARPT FK 5149S 05827W 0073   
888910 SFAL   STANLEY AIRPORT     FK 5141S 05746W 0023   
888970        BOGUS FALKLAND      FK 0000S 00000W    
889020        GRYTVIKEN/FLAT BLUF FK 5416S 03630W 0010   
889030        GRYTVIKEN,S.GEORGIA FK 5416S 03630W 0003   
889630        ESPERANZA ARG-BASE  AG 6324S 05659W 0013   
889680        ISLAS ORCADAS (MET) AG 6045S 04443W 0006   
889810        ZAVODOVSKI IL AUT   FK 5617S 02735W 0113   
889860        SOUTH THULE IL AUT  FK 5927S 02719W 0027   
890010        SANAE SAF-BASE      ZA 7018S 00221W 0062   
890020        VON-NEUMAYER G-BASE DL 7040S 00815W 0040   
890090        AMUNDSEN-SCOTT      US 9000S 00000W 2830   
890140        NORDENSKIOLD BASE   FI 7303S 01323W    
890220        HALLEY BRI-BASE     UK 7530S 02639W 0030   
890240        NAVY OPERATED(AMOS) US 7731S 02344W 1545   
890340        BELGRANO 2 ARG-BASE AG 7752S 03437W 0251   
890420        SIGNY ISL BRI-BASE& UK 6043S 04536W 0006   
890440        DRUZHNAYA SOV-BASE  RA 7734S 04013W 0035   
890450        BELGRANO 3 ARG-BASE AG 7754S 04559W 0243   
890500        BELLINGSHAUSEN      RA 6212S 05856W 0016   
890520        ARCTOWSKI POL-BASE  PL 6210S 05828W 0002   
890530        TENIENTE JUBANY     AG 6214S 05838W 0004   
890540        DINAMET-URUGUAY     UY 6210S 05850W 0010   
890550        VICECOMODORO MARAM  AG 6414S 05643W 0198   
890560        FREI CHI-BASE     & CH 6211S 05859W 0010   
890570        BASE ARTURO PRAT  & CH 6230S 05941W 0005   
890580        GREAT WALL          CI 6213S 05858W 0010   
890590        BERNARDO O'HIGGINS& CH 6319S 05754W 0010   
890600        PRIMAVERA ARG-BASE  AG 6409S 06057W 0050   
890610        PALMER USA-BASE     US 6446S 06405W 0008   
890620        ROTHERA PT BRI-BASE UK 6734S 06808W 0016   
890630        FARADAY (ARG ISL) & UK 6515S 06416W 0011   
890640        JUAN CARLOS ISLAND  SP 6240S 06023W 0010   
890650        FOSSIL BLUFF      & UK 7120S 06821W 0055   
890660        SAN-MARTIN ARG-BASE AG 6808S 06708W 0004   
890830        SIPLE USA-BASE      US 7555S 08355W 0914   
891080        HENRY               US 8900S 00018W 2755   
891250        BYRD USA-BASE       US 8001S 11932W 1515   
891750        BROCKTON USA-BASE   US 7848S 17440W 0015   
892080        CLEAN AIR           US 8957S 00001W 2835   
892510        KING SEJONG         KO 6213S 05845W 0011   
892610        RACER ROCK          US 6410S 06132W 0017   
892620        LARSEN ICE          US 6658S 06033W 0017   
892640        URANUS              US 7126S 06856W 0780   
892660        BUTLER ISLAND       US 7213S 06020W 0091   
892680        NAVY OPERATED(AMOS) US 7501S 06232W 0025   
892690        BONAPARTE PARKPOINT US 6447S 06304W 0008   
892840        NAVY OPERATED(AMOS) US 7555S 08355W 1054   
893240        NAVY OPERATED(AMOS) US 8000S 12000W 1530   
893270        MOUNT SIPLE         US 7312S 12703W 0030   
893710        SCOTT ISLAND        US 6722S 17958W 0030   
893740        NAVY OPERATED(AMOS) US 7821S 17322W 0018   
893770        LETTAU              US 8235S 17416W 0055   
895040        TROLL                  7200S 00232E 1290   
895120        NOVOLAZAREVSKAJA    RA 7046S 01150E 0102   
895140        MAITRI              IN 7046S 01145E 0120   
895240        ASUKA JAPAN-BASE    JP 7132S 02408E 0931   
895320        SYOWA JAPAN-BASE    JP 6900S 03935E 0021   
895420        MOLODEZNAJA         RA 6740S 04551E 0040   
895640        MAWSON AUS-BASE   & AU 6736S 06252E 0016   
895670        DOVERS              AU 7014S 06551E 1100   
895710        DAVIS AUS-BASE      AU 6834S 07757E 0013   
895730        ZHONGSHAN WX OFFICE CI 6922S 07622E 0018   
895740        PROGRESS            RA 6924S 07624E 0064   
895920        MIRNYJ SOVIET-BASE  RA 6633S 09301E 0030   
896060        VOSTOK SOVIET-BASE  RA 7827S 10652E 3420   
896110        CASEY AUS-BASE      AU 6617S 11031E 0041   
896420        DUMONT D'URVILLE    FR 6640S 14001E 0043   
896430        NAVY OPERATED(AMOS) US 6649S 14123E 0039   
896570        LENINGRADSKAYA      RA 6930S 15923E 0300   
896600        YOUNG ISLAND        US 6617S 16220E 0030   
896610        CAPE PHILLIPS       IY 7303S 16936E 0201   
896620        BAIA TERRA NOVA     IY 7442S 16406E 0080   
896630        LAKE VANDA NZL-BASE NZ 7732S 16140E 0015   
896640        MCMURDO USA-BASE    US 7751S 16640E 0034   
896650        SCOTT NZL-BASE      NZ 7751S 16645E 0095   
896660        CAPE ROSS           IY 7643S 16258E 0201   
896670        PEGASUS NORTH       US 7757S 16631E 0020   
896740 NZCM   MCMURDO/WILLIAMS FD US 7752S 16658E 0008   
897050        UNIV. WI ID 8932    US 8130S 00344E 2410   
897570        MAWSON (LGB 20 AWS) AU 7350S 05540E 2775   
897620        MAWSON LGB00GE03AWS AU 6839S 06033E 1850   
897680        MINNA BLUFF         US 7833S 16642E 0920   
897690        LINDA               US 7830S 16821E 0050   
897990        NICO                US 8900S 09008E 2935   
898030        CASEY (GF 08 AWS)   AU 6829S 10210E 2118   
898050        CASEY (GC 46 AWS)   AU 7408S 10950E 3070   
898100        CASEY AIRSTRIP      AU 6617S 11048E 0390   
898110        LAW DOME SUMMIT     AU 6643S 11256E 1362   
898130        CASEY (GC 41 AWS)   AU 7136S 11115E 2740   
898140        CASEY/BALAENA IL    AU 6601S 11105E 0010   
898280        DOME C              US 7430S 12300E 3280   
898320        D-10                US 6642S 13948E 0240   
898340        D-47                US 6723S 13843E 1560   
898360        D-80                US 7001S 13443E 2500   
898600        LYNN                US 7414S 16017E 1772   
898610        SANDRA              US 7429S 16029E 1525   
898620        NAVY OPERATED(AMOS) US 7442S 16134E 1200   
898630        GILL                US 8002S 17838W 0055   
898640        MANUELA             US 7455S 16336E 0080   
898650        WHITLOCK            US 7614S 16842E 0275   
898660        MARBLE POINT        US 7726S 16345E 0120   
898670        NAVY OPERATED(AMOS) US 7730S 16709E 3700   
898680        SCHWERDTFEGER       US 7956S 16950E 0060   
898690        MARILYN             US 7957S 16458E 0075   
898720        FERRELL             US 7801S 17048E 0045   
898730        ELAINE              US 8309S 17428E 0060   
898790        POSSESSION ISLAND   US 7156S 17108E 0030   
910660 PMDY   MIDWAY ISLAND NAF   HI 2813N 17722W 0004   
911550 1Z6    FRENCH FRIGATE SHLS HI 2352N 16617W 0002   
